"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","manufacturer"
"35"," Q5",2017,39995,"Semi-Auto",7801,"Petrol",145,34,3,"Audi"
"36"," A3",2020,35995,"Semi-Auto",314,"Petrol",150,34.9,2,"Audi"
"37"," Q3",2016,21995,"Semi-Auto",40254,"Petrol",205,40.4,2,"Audi"
"38"," A5",2020,39454,"Semi-Auto",7925,"Diesel",145,45.6,2,"Audi"
"39"," Q5",2018,30995,"Semi-Auto",15706,"Petrol",145,40.4,2,"Audi"
"40"," Q2",2018,21995,"Manual",9634,"Petrol",145,50.4,1.4,"Audi"
"41"," Q3",2015,17995,"Manual",38244,"Petrol",145,49.6,1.4,"Audi"
"42"," A3",2019,20995,"Manual",3325,"Diesel",145,49.6,1.6,"Audi"
"43"," Q3",2017,19998,"Manual",21576,"Petrol",145,49.6,1.4,"Audi"
"44"," Q3",2017,18995,"Semi-Auto",27057,"Petrol",145,47.9,1.4,"Audi"
"45"," A6",2019,33298,"Semi-Auto",4899,"Diesel",145,47.9,2,"Audi"
"46"," A4",2017,19495,"Semi-Auto",31214,"Diesel",30,67.3,2,"Audi"
"47"," Q3",2017,16490,"Manual",50286,"Diesel",145,61.4,2,"Audi"
"48"," Q5",2016,24490,"Semi-Auto",51562,"Diesel",235,42.8,3,"Audi"
"49"," A1",2017,15995,"Manual",8128,"Petrol",30,55.4,1.4,"Audi"
"50"," A4",2016,13998,"Manual",37478,"Diesel",0,74.3,2,"Audi"
"51"," A5",2015,18995,"Manual",37056,"Diesel",160,53.3,2,"Audi"
"52"," Q5",2015,21500,"Semi-Auto",66959,"Diesel",265,41.5,3,"Audi"
"53"," A1",2019,23995,"Manual",3232,"Petrol",145,50.4,1,"Audi"
"54"," A7",2018,38995,"Semi-Auto",6850,"Diesel",145,38.2,3,"Audi"
"55"," A5",2017,22945,"Semi-Auto",47446,"Diesel",145,62.8,2,"Audi"
"56"," Q3",2019,34995,"Semi-Auto",4000,"Petrol",145,31.7,2,"Audi"
"57"," A1",2016,11498,"Manual",22669,"Petrol",30,57.6,1.4,"Audi"
"58"," A5",2019,36995,"Automatic",9256,"Diesel",145,45.6,2,"Audi"
"59"," Q8",2019,83995,"Semi-Auto",5978,"Diesel",150,30.7,4,"Audi"
"60"," A1",2019,19995,"Manual",2235,"Petrol",150,49.6,1,"Audi"
"61"," A6",2016,18350,"Automatic",52255,"Diesel",30,61.4,2,"Audi"
"62"," Q7",2016,12500,"Semi-Auto",26705,"Diesel",200,47.9,3,"Audi"
"63"," A3",2018,16995,"Semi-Auto",30547,"Diesel",145,70.6,1.6,"Audi"
"64"," Q3",2019,38995,"Automatic",4304,"Diesel",145,37.7,2,"Audi"
"65"," A6",2019,41995,"Semi-Auto",8060,"Diesel",145,37.7,3,"Audi"
"66"," Q5",2019,36202,"Automatic",1000,"Diesel",145,39.2,2,"Audi"
"67"," A8",2018,37000,"Automatic",10296,"Diesel",145,50.4,3,"Audi"
"68"," A3",2018,20000,"Automatic",6629,"Petrol",145,42.2,1.5,"Audi"
"69"," A6",2019,31500,"Automatic",2408,"Diesel",145,50.4,2,"Audi"
"70"," A3",2017,12798,"Manual",29998,"Petrol",20,61.4,1.4,"Audi"
"71"," A1",2016,10998,"Manual",24242,"Petrol",0,67.3,1,"Audi"
"72"," A6",2016,17298,"Manual",31759,"Diesel",30,61.4,2,"Audi"
"73"," A4",2019,24998,"Semi-Auto",12853,"Petrol",145,38.2,2,"Audi"
"74"," Q2",2019,25998,"Semi-Auto",17,"Diesel",145,46.3,2,"Audi"
"75"," A5",2017,19498,"Semi-Auto",27049,"Diesel",145,67.3,2,"Audi"
"76"," A5",2019,25998,"Semi-Auto",24608,"Petrol",145,39.8,2,"Audi"
"77"," Q3",2015,13998,"Manual",66047,"Diesel",145,55.4,2,"Audi"
"78"," A6",2016,17498,"Semi-Auto",24405,"Diesel",20,64.2,2,"Audi"
"79"," A1",2016,10994,"Manual",36951,"Petrol",0,67.3,1,"Audi"
"80"," A1",2016,11695,"Manual",22373,"Petrol",30,55.4,1.4,"Audi"
"81"," Q3",2017,17495,"Manual",34617,"Diesel",30,60.1,2,"Audi"
"82"," A4",2017,17795,"Semi-Auto",26752,"Diesel",145,64.2,2,"Audi"
"83"," A6",2016,20000,"Semi-Auto",24000,"Diesel",30,61.4,2,"Audi"
"84"," A4",2015,12698,"Manual",36081,"Diesel",145,55.4,2,"Audi"
"85"," Q3",2013,11998,"Semi-Auto",52765,"Diesel",200,47.9,2,"Audi"
"86"," A7",2017,26500,"Semi-Auto",34201,"Diesel",145,52.3,3,"Audi"
"87"," Q3",2015,17498,"Semi-Auto",40256,"Diesel",160,50.4,2,"Audi"
"88"," A1",2019,20500,"Semi-Auto",5676,"Petrol",145,47.1,1,"Audi"
"89"," A1",2015,12995,"Manual",27275,"Petrol",30,55.4,1.4,"Audi"
"90"," Q7",2014,20498,"Semi-Auto",43209,"Diesel",300,38.2,3,"Audi"
"91"," Q3",2019,36497,"Automatic",1000,"Diesel",145,47.1,2,"Audi"
"92"," Q3",2015,14498,"Manual",53124,"Diesel",145,55.4,2,"Audi"
"93"," A4",2016,14998,"Manual",30498,"Diesel",0,74.3,2,"Audi"
"94"," Q2",2019,26508,"Manual",15,"Petrol",145,40.9,1.5,"Audi"
"95"," Q3",2020,37888,"Semi-Auto",2553,"Petrol",145,30.7,2,"Audi"
"96"," Q2",2019,22495,"Manual",1000,"Diesel",145,49.6,1.6,"Audi"
"97"," A4",2019,33245,"Semi-Auto",2529,"Diesel",150,47.9,2,"Audi"
"98"," A3",2016,12498,"Manual",29298,"Petrol",20,60.1,1,"Audi"
"99"," Q7",2019,40495,"Semi-Auto",8391,"Diesel",150,33.6,3,"Audi"
"100"," A6",2016,18291,"Semi-Auto",35665,"Diesel",30,61.4,2,"Audi"
"101"," Q2",2020,27591,"Semi-Auto",4455,"Diesel",150,44.8,2,"Audi"
"102"," A5",2016,15698,"Manual",51089,"Diesel",125,58.9,2,"Audi"
"103"," A5",2017,20996,"Semi-Auto",22877,"Petrol",145,47.9,2,"Audi"
"104"," A6",2019,27795,"Automatic",1282,"Diesel",145,47.9,2,"Audi"
"105"," A1",2020,25491,"Semi-Auto",5432,"Petrol",150,44.8,1.5,"Audi"
"106"," Q7",2019,45251,"Semi-Auto",17003,"Diesel",150,32.8,3,"Audi"
"107"," Q3",2017,18696,"Manual",23008,"Diesel",145,56.5,2,"Audi"
"108"," Q5",2019,44990,"Automatic",6565,"Hybrid",135,117.7,2,"Audi"
"109"," Q2",2020,24444,"Manual",4432,"Petrol",145,43.5,1.5,"Audi"
"110"," Q3",2020,32881,"Semi-Auto",4432,"Petrol",145,39.2,1.5,"Audi"
"111"," Q2",2019,23756,"Manual",4321,"Petrol",145,43.5,1.5,"Audi"
"112"," A5",2020,28991,"Semi-Auto",5432,"Diesel",145,51.4,2,"Audi"
"113"," A1",2019,20444,"Manual",4321,"Petrol",145,47.9,1,"Audi"
"114"," Q3",2017,19956,"Semi-Auto",38150,"Petrol",200,42.2,2,"Audi"
"115"," A6",2017,18296,"Semi-Auto",47112,"Diesel",145,64.2,2,"Audi"
"116"," A1",2019,19751,"Manual",3632,"Petrol",145,47.9,1,"Audi"
"117"," Q3",2016,17998,"Manual",7102,"Petrol",125,51.4,1.4,"Audi"
"118"," Q2",2019,18551,"Manual",6274,"Diesel",145,49.6,1.6,"Audi"
"119"," Q2",2019,18998,"Manual",6378,"Petrol",145,47.1,1,"Audi"
"120"," A5",2017,22398,"Semi-Auto",17616,"Diesel",145,65.7,2,"Audi"
"121"," A4",2017,18698,"Manual",20399,"Petrol",145,51.4,1.4,"Audi"
"122"," A4",2016,20698,"Semi-Auto",30374,"Diesel",145,56.5,2,"Audi"
"123"," RS6",2017,54998,"Semi-Auto",8546,"Petrol",145,29.4,4,"Audi"
"124"," A1",2016,12991,"Manual",21686,"Petrol",30,55.4,1.4,"Audi"
"125"," A3",2017,17498,"Manual",20359,"Petrol",30,60.1,1.4,"Audi"
"126"," A6",2017,20498,"Semi-Auto",12806,"Diesel",145,64.2,2,"Audi"
"127"," Q5",2015,18498,"Manual",34175,"Diesel",200,47.9,2,"Audi"
"128"," A4",2017,18298,"Manual",18737,"Petrol",145,51.4,1.4,"Audi"
"129"," A5",2016,15995,"Manual",54000,"Diesel",145,54.3,2,"Audi"
"130"," A6",2016,13498,"Manual",97729,"Diesel",30,61.4,2,"Audi"
"131"," A4",2013,8498,"Manual",78268,"Diesel",30,61.4,2,"Audi"
"132"," Q3",2017,18998,"Manual",21967,"Diesel",145,56.5,2,"Audi"
"133"," A1",2016,12798,"Manual",19512,"Petrol",0,67.3,1,"Audi"
"134"," A5",2013,10070,"Manual",80242,"Diesel",30,60.1,2,"Audi"
"135"," A4",2016,14995,"Manual",41100,"Diesel",0,74.3,2,"Audi"
"136"," A1",2017,15995,"Semi-Auto",23496,"Diesel",150,70.6,1.6,"Audi"
"137"," TT",2019,26995,"Automatic",6137,"Petrol",145,40.4,2,"Audi"
"138"," A4",2020,33888,"Semi-Auto",4235,"Petrol",145,36.2,2,"Audi"
"139"," A3",2019,21490,"Automatic",15961,"Petrol",145,41.5,1.5,"Audi"
"140"," A4",2016,14998,"Manual",32379,"Diesel",0,74.3,2,"Audi"
"141"," A4",2017,12898,"Manual",72816,"Diesel",0,74.3,2,"Audi"
"142"," A4",2018,15498,"Manual",17047,"Petrol",145,53.3,1.4,"Audi"
"143"," Q3",2015,15798,"Manual",26308,"Diesel",145,56.5,2,"Audi"
"144"," A5",2013,11998,"Manual",59773,"Diesel",30,60.1,2,"Audi"
"145"," A6",2016,14698,"Semi-Auto",57365,"Diesel",30,64.2,2,"Audi"
"146"," A3",2016,15498,"Manual",31226,"Petrol",30,57.6,1.4,"Audi"
"147"," Q3",2016,17898,"Manual",15982,"Diesel",30,60.1,2,"Audi"
"148"," A3",2018,15840,"Manual",22710,"Diesel",145,68.9,1.6,"Audi"
"149"," Q5",2015,22995,"Semi-Auto",66000,"Diesel",235,42.8,3,"Audi"
"150"," A3",2017,18498,"Semi-Auto",27430,"Petrol",145,56.5,1.4,"Audi"
"151"," Q2",2018,18698,"Semi-Auto",14974,"Diesel",145,68.9,1.6,"Audi"
"152"," A3",2016,14998,"Manual",41049,"Diesel",20,65.7,2,"Audi"
"153"," A4",2018,19222,"Manual",20356,"Petrol",150,51.4,1.4,"Audi"
"154"," A3",2017,14998,"Manual",17666,"Petrol",20,60.1,1.4,"Audi"
"155"," Q5",2013,15998,"Semi-Auto",43309,"Diesel",200,47.1,2,"Audi"
"156"," A5",2014,16990,"Semi-Auto",43605,"Petrol",300,34.9,3,"Audi"
"157"," Q2",2017,16298,"Manual",24654,"Diesel",30,64.2,1.6,"Audi"
"158"," A4",2017,15498,"Manual",46147,"Diesel",145,70.6,2,"Audi"
"159"," A1",2016,9498,"Manual",48889,"Diesel",0,76.3,1.6,"Audi"
"160"," RS3",2016,28991,"Semi-Auto",28083,"Petrol",300,34.9,2.5,"Audi"
"161"," Q2",2019,22444,"Manual",4462,"Diesel",150,49.6,1.6,"Audi"
"162"," Q3",2017,20040,"Semi-Auto",23166,"Petrol",145,47.9,1.4,"Audi"
"163"," A4",2017,15498,"Semi-Auto",51875,"Diesel",20,70.6,2,"Audi"
"164"," Q3",2019,26888,"Manual",1500,"Diesel",145,42.8,2,"Audi"
"165"," Q2",2019,20999,"Manual",5000,"Petrol",145,47.1,1,"Audi"
"166"," A3",2018,25489,"Semi-Auto",18478,"Petrol",145,43.5,2,"Audi"
"167"," Q7",2018,44999,"Automatic",16725,"Diesel",145,32.8,3,"Audi"
"168"," A3",2017,18444,"Manual",18541,"Petrol",30,60.1,1.4,"Audi"
"169"," Q3",2014,13798,"Manual",26782,"Petrol",235,38.7,2,"Audi"
"170"," A4",2019,24998,"Semi-Auto",9880,"Petrol",145,38.2,2,"Audi"
"171"," A6",2017,19798,"Semi-Auto",12623,"Diesel",150,64.2,2,"Audi"
"172"," A5",2017,23790,"Semi-Auto",29668,"Petrol",145,45.6,2,"Audi"
"173"," A3",2019,20890,"Semi-Auto",12930,"Petrol",145,42.2,1.5,"Audi"
"174"," A4",2017,16498,"Manual",12882,"Petrol",145,52.3,1.4,"Audi"
"175"," A3",2014,11995,"Automatic",26600,"Petrol",20,60.1,1.4,"Audi"
"176"," A6",2016,14998,"Semi-Auto",54813,"Diesel",30,64.2,2,"Audi"
"177"," A4",2018,18998,"Manual",20298,"Petrol",145,51.4,1.4,"Audi"
"178"," A4",2017,16998,"Manual",34870,"Petrol",145,51.4,1.4,"Audi"
"179"," Q2",2017,20650,"Semi-Auto",18745,"Petrol",150,52.3,1.4,"Audi"
"180"," A4",2016,16750,"Semi-Auto",50715,"Diesel",30,65.7,2,"Audi"
"181"," A6",2019,30888,"Automatic",9350,"Diesel",145,47.9,2,"Audi"
"182"," A3",2017,13795,"Manual",18454,"Diesel",145,70.6,1.6,"Audi"
"183"," A1",2016,9895,"Manual",75189,"Diesel",0,80.7,1.6,"Audi"
"184"," Q3",2017,17695,"Semi-Auto",46862,"Diesel",145,55.4,2,"Audi"
"185"," A1",2016,12995,"Manual",30123,"Petrol",30,56.5,1.4,"Audi"
"186"," Q5",2020,53990,"Semi-Auto",5480,"Diesel",145,34.5,3,"Audi"
"187"," Q5",2016,22495,"Semi-Auto",25721,"Diesel",200,47.1,2,"Audi"
"188"," A6",2015,13495,"Manual",35921,"Diesel",30,65.7,2,"Audi"
"189"," A3",2016,11790,"Manual",29813,"Diesel",0,74.3,1.6,"Audi"
"190"," Q2",2017,19990,"Semi-Auto",18887,"Petrol",125,52.3,1.4,"Audi"
"191"," A7",2017,23990,"Semi-Auto",16236,"Diesel",145,61.4,3,"Audi"
"192"," A3",2015,9990,"Manual",61443,"Diesel",20,70.6,1.6,"Audi"
"193"," A3",2017,11895,"Manual",28334,"Petrol",150,62.8,1,"Audi"
"194"," A3",2017,16498,"Semi-Auto",2022,"Petrol",145,60.1,1,"Audi"
"195"," Q2",2019,20998,"Manual",1596,"Diesel",145,49.6,1.6,"Audi"
"196"," A1",2017,13998,"Semi-Auto",27496,"Petrol",150,56.5,1.4,"Audi"
"197"," Q3",2019,26978,"Semi-Auto",10778,"Diesel",145,47.1,2,"Audi"
"198"," A4",2019,34950,"Manual",5800,"Petrol",145,39.2,2,"Audi"
"199"," A6",2018,48950,"Semi-Auto",19500,"Diesel",145,39.8,3,"Audi"
"200"," Q5",2016,18890,"Manual",42555,"Diesel",205,47.9,2,"Audi"
"201"," A6",2016,16710,"Semi-Auto",69030,"Diesel",145,56.5,2,"Audi"
"202"," A3",2018,18998,"Manual",9118,"Petrol",145,58.9,1.4,"Audi"
"203"," Q5",2019,34998,"Semi-Auto",21,"Petrol",145,32.1,2,"Audi"
"204"," A3",2018,20977,"Manual",10045,"Petrol",145,42.2,1.5,"Audi"
"205"," A4",2017,17995,"Manual",40133,"Diesel",145,62.8,2,"Audi"
"206"," A3",2016,17798,"Semi-Auto",26054,"Petrol",30,56.5,1.4,"Audi"
"207"," TT",2015,15998,"Manual",23065,"Petrol",145,47.9,2,"Audi"
"208"," A4",2016,11000,"Semi-Auto",73722,"Diesel",0,72.4,2,"Audi"
"209"," A3",2015,8000,"Manual",91567,"Diesel",20,70.6,1.6,"Audi"
"210"," Q3",2016,16995,"Manual",34396,"Diesel",145,52.3,2,"Audi"
"211"," A1",2015,11484,"Manual",45070,"Petrol",30,55.4,1.4,"Audi"
"212"," Q2",2017,19991,"Semi-Auto",19001,"Diesel",150,57.7,2,"Audi"
"213"," Q3",2020,25995,"Manual",7000,"Petrol",150,40.9,1.5,"Audi"
"214"," Q2",2019,19995,"Manual",5000,"Diesel",145,49.6,1.6,"Audi"
"215"," Q3",2014,12995,"Semi-Auto",53000,"Diesel",200,47.9,2,"Audi"
"216"," Q2",2019,21495,"Manual",5000,"Diesel",145,49.6,1.6,"Audi"
"217"," Q3",2019,25995,"Semi-Auto",8300,"Diesel",145,48.7,2,"Audi"
"218"," A4",2019,26695,"Semi-Auto",5000,"Diesel",145,51.4,2,"Audi"
"219"," A4",2016,13910,"Manual",67840,"Diesel",30,64.2,2,"Audi"
"220"," A3",2016,17495,"Manual",21500,"Petrol",30,58.9,1.4,"Audi"
"221"," A4",2017,26995,"Semi-Auto",19650,"Petrol",145,38.7,3,"Audi"
"222"," Q5",2017,33995,"Semi-Auto",50000,"Petrol",145,34,3,"Audi"
"223"," Q3",2015,13995,"Manual",41000,"Diesel",30,61.4,2,"Audi"
"224"," A6",2017,20495,"Manual",34000,"Diesel",145,61.4,2,"Audi"
"225"," A4",2014,9990,"Manual",49441,"Diesel",30,62.8,2,"Audi"
"226"," A5",2017,19495,"Semi-Auto",19300,"Diesel",20,70.6,2,"Audi"
"227"," Q3",2017,17995,"Manual",15968,"Petrol",150,49.6,1.4,"Audi"
"228"," A4",2017,13700,"Semi-Auto",67227,"Diesel",145,70.6,2,"Audi"
"229"," A4",2016,17995,"Manual",34714,"Diesel",30,62.8,2,"Audi"
"230"," Q7",2017,43500,"Semi-Auto",51187,"Diesel",300,39.2,4,"Audi"
"231"," A1",2014,9790,"Manual",44202,"Petrol",30,55.4,1.2,"Audi"
"232"," A1",2015,15698,"Manual",20552,"Petrol",200,40.4,2,"Audi"
"233"," Q2",2017,18700,"Semi-Auto",36000,"Petrol",145,52.3,1.4,"Audi"
"234"," Q5",2020,49865,"Semi-Auto",3272,"Diesel",145,34.5,3,"Audi"
"235"," A4",2020,42840,"Semi-Auto",5233,"Diesel",145,39.2,3,"Audi"
"236"," A3",2014,8630,"Semi-Auto",70480,"Diesel",20,72.4,1.6,"Audi"
"237"," A5",2016,17470,"Manual",50405,"Diesel",160,53.3,2,"Audi"
"238"," A4",2014,15567,"Automatic",55119,"Petrol",300,34.9,3,"Audi"
"239"," A5",2019,26000,"Semi-Auto",4500,"Petrol",145,40.4,2,"Audi"
"240"," A8",2019,49000,"Semi-Auto",100,"Diesel",145,40.4,3,"Audi"
"241"," Q3",2014,9992,"Manual",69944,"Diesel",145,54.3,2,"Audi"
"242"," A3",2017,17691,"Manual",17957,"Petrol",30,60.1,1.4,"Audi"
"243"," A5",2016,17597,"Automatic",43707,"Diesel",160,50.4,2,"Audi"
"244"," A5",2014,13095,"Manual",30884,"Diesel",30,60.1,2,"Audi"
"245"," Q5",2016,22000,"Semi-Auto",28250,"Diesel",205,47.1,2,"Audi"
"246"," A1",2015,8874,"Manual",74805,"Petrol",30,55.4,1.4,"Audi"
"247"," Q3",2016,15698,"Manual",12612,"Diesel",30,61.4,2,"Audi"
"248"," A1",2016,10965,"Manual",24971,"Petrol",0,67.3,1,"Audi"
"249"," Q5",2015,21995,"Semi-Auto",38778,"Diesel",235,44.1,3,"Audi"
"250"," A4",2017,22495,"Semi-Auto",61008,"Petrol",145,44.1,2,"Audi"
"251"," A5",2019,29695,"Manual",5500,"Petrol",145,37.2,2,"Audi"
"252"," A1",2019,23950,"Semi-Auto",5000,"Petrol",145,44.1,1,"Audi"
"253"," A1",2016,11760,"Manual",27400,"Petrol",30,55.4,1.4,"Audi"
"254"," A3",2017,20450,"Semi-Auto",15000,"Diesel",145,70.6,1.6,"Audi"
"255"," A1",2013,7791,"Manual",76361,"Petrol",125,52.3,1.4,"Audi"
"256"," A3",2015,12201,"Manual",51607,"Petrol",30,55.4,1.4,"Audi"
"257"," A3",2019,23300,"Semi-Auto",10439,"Petrol",145,41.5,1.5,"Audi"
"258"," A6",2016,16600,"Semi-Auto",48063,"Diesel",30,61.4,2,"Audi"
"259"," Q3",2019,37995,"Semi-Auto",1500,"Petrol",145,32.1,2,"Audi"
"260"," A3",2014,11290,"Manual",32055,"Petrol",20,60.1,1.4,"Audi"
"261"," A3",2016,15998,"Manual",26849,"Diesel",20,65.7,2,"Audi"
"262"," Q3",2019,37400,"Automatic",5342,"Petrol",145,32.1,2,"Audi"
"263"," Q3",2019,35866,"Automatic",6698,"Petrol",145,30.7,2,"Audi"
"264"," Q5",2019,33236,"Semi-Auto",4294,"Diesel",145,38.2,2,"Audi"
"265"," Q5",2019,30498,"Semi-Auto",6514,"Diesel",150,38.2,2,"Audi"
"266"," A1",2016,15052,"Semi-Auto",26041,"Petrol",30,56.5,1.4,"Audi"
"267"," Q2",2017,18552,"Semi-Auto",26500,"Petrol",145,54.3,1.4,"Audi"
"268"," A4",2016,16498,"Semi-Auto",41529,"Diesel",30,65.7,2,"Audi"
"269"," Q8",2019,51862,"Automatic",11464,"Diesel",145,33.6,3,"Audi"
"270"," A6",2018,22995,"Semi-Auto",15866,"Diesel",145,61.4,2,"Audi"
"271"," Q2",2019,31490,"Semi-Auto",2100,"Petrol",145,31.4,2,"Audi"
"272"," Q7",2017,37332,"Semi-Auto",9011,"Diesel",145,47.9,3,"Audi"
"273"," A3",2017,23890,"Semi-Auto",25988,"Petrol",150,44.1,2,"Audi"
"274"," Q2",2016,20995,"Semi-Auto",29491,"Petrol",125,51.4,1.4,"Audi"
"275"," A1",2016,12650,"Manual",20193,"Petrol",30,55.4,1.4,"Audi"
"276"," Q3",2016,16798,"Manual",31516,"Diesel",145,55.4,2,"Audi"
"277"," Q3",2016,17798,"Semi-Auto",29777,"Petrol",145,47.9,1.4,"Audi"
"278"," Q5",2015,18998,"Semi-Auto",43979,"Diesel",200,47.1,2,"Audi"
"279"," A7",2016,19698,"Semi-Auto",40809,"Diesel",125,61.4,3,"Audi"
"280"," A4",2018,18500,"Manual",15091,"Petrol",145,52.3,1.4,"Audi"
"281"," A4",2018,31500,"Semi-Auto",16600,"Petrol",145,38.7,3,"Audi"
"282"," A3",2019,30796,"Semi-Auto",6806,"Petrol",145,34.9,2,"Audi"
"283"," A3",2015,9750,"Manual",25500,"Diesel",20,68.9,2,"Audi"
"284"," A4",2016,15290,"Semi-Auto",36157,"Diesel",20,72.4,2,"Audi"
"285"," Q5",2016,28881,"Semi-Auto",26832,"Diesel",235,42.8,3,"Audi"
"286"," A3",2016,23482,"Semi-Auto",22499,"Petrol",160,43.5,2,"Audi"
"287"," A5",2017,21481,"Semi-Auto",11070,"Diesel",145,67.3,2,"Audi"
"288"," A4",2018,23132,"Semi-Auto",15475,"Petrol",145,50.4,2,"Audi"
"289"," A1",2017,11771,"Manual",46096,"Petrol",145,67.3,1,"Audi"
"290"," A1",2020,24990,"Semi-Auto",883,"Petrol",145,44.1,1,"Audi"
"291"," A5",2019,25490,"Semi-Auto",3145,"Petrol",145,39.8,2,"Audi"
"292"," A3",2016,12771,"Semi-Auto",52226,"Petrol",20,60.1,1.4,"Audi"
"293"," Q3",2019,26676,"Manual",3125,"Petrol",145,40.9,1.5,"Audi"
"294"," Q5",2019,32195,"Semi-Auto",5891,"Diesel",145,39.2,2,"Audi"
"295"," Q5",2019,32956,"Automatic",5456,"Diesel",145,38.2,2,"Audi"
"296"," Q8",2019,48642,"Automatic",10521,"Diesel",145,33.6,3,"Audi"
"297"," Q5",2017,28062,"Semi-Auto",21876,"Diesel",150,55.4,2,"Audi"
"298"," Q3",2017,17500,"Manual",35964,"Petrol",145,49.6,1.4,"Audi"
"299"," A4",2019,28620,"Semi-Auto",15803,"Petrol",145,35.8,2,"Audi"
"300"," Q3",2019,34256,"Automatic",3662,"Petrol",145,37.2,1.5,"Audi"
"301"," A5",2013,10310,"Manual",76026,"Diesel",30,60.1,2,"Audi"
"302"," A1",2016,10510,"Semi-Auto",59302,"Petrol",30,57.6,1.4,"Audi"
"303"," TT",2019,26490,"Semi-Auto",5003,"Petrol",150,38.7,2,"Audi"
"304"," A4",2016,15270,"Manual",24673,"Diesel",20,72.4,2,"Audi"
"305"," A1",2016,11120,"Manual",23416,"Petrol",0,67.3,1,"Audi"
"306"," A4",2018,17782,"Manual",13166,"Petrol",145,52.3,1.4,"Audi"
"307"," Q5",2014,15490,"Semi-Auto",69798,"Diesel",200,47.1,2,"Audi"
"308"," Q2",2019,24440,"Manual",3017,"Diesel",145,46.3,1.6,"Audi"
"309"," A3",2016,10500,"Manual",74924,"Diesel",30,67.3,2,"Audi"
"310"," A4",2017,16499,"Semi-Auto",14700,"Petrol",30,55.4,2,"Audi"
"311"," Q3",2018,18981,"Manual",18280,"Petrol",145,51.4,1.4,"Audi"
"312"," A6",2019,45912,"Automatic",5260,"Diesel",145,36.2,3,"Audi"
"313"," Q7",2019,43244,"Automatic",10210,"Diesel",145,33.2,3,"Audi"
"314"," Q3",2017,18000,"Manual",21849,"Petrol",145,49.6,1.4,"Audi"
"315"," Q3",2017,19242,"Semi-Auto",19416,"Petrol",145,47.9,1.4,"Audi"
"316"," A4",2020,32481,"Semi-Auto",22601,"Petrol",145,39.2,2,"Audi"
"317"," A1",2016,11232,"Manual",36552,"Petrol",0,67.3,1,"Audi"
